TID: [2024-07-09 12:35:37,269]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2024-07-09 12:35:42,859]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [] [] [2024-07-09 12:35:42,859]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Windows 10 10.0, amd64
TID: [] [] [2024-07-09 12:35:42,859]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : C:\Program Files\Java\jdk-22
TID: [] [] [2024-07-09 12:35:42,859]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 22.0.1
TID: [] [] [2024-07-09 12:35:42,859]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : Java HotSpot(TM) 64-Bit Server VM 22.0.1+8-16,Oracle Corporation
TID: [] [] [2024-07-09 12:35:42,859]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : C:\Users\MAHMOU~2.ABD\DOWNLO~1\WSO2AM~1.0(1\WSO2AM~1.0\bin\..
TID: [] [] [2024-07-09 12:35:42,859]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : C:\Users\MAHMOU~2.ABD\DOWNLO~1\WSO2AM~1.0(1\WSO2AM~1.0\bin\..\tmp
TID: [] [] [2024-07-09 12:35:42,859]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : mahmouds.abdelhamid, en-US, Asia/Baghdad
TID: [] [] [2024-07-09 12:35:43,129]  INFO {org.wso2.carbon.crypto.provider.internal.DefaultCryptoProviderComponent} - 'CryptoService.Secret' property has not been set. 'org.wso2.carbon.crypto.provider.SymmetricKeyInternalCryptoProvider' won't be registered as an internal crypto provider. Please set the secret if the provider needs to be registered.
TID: [] [] [2024-07-09 12:35:43,401]  INFO {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS} - Successfully deployed the Kafka output event adaptor service
TID: [] [] [2024-07-09 12:35:45,270]  INFO {org.wso2.carbon.apimgt.eventing.hub.internal.ServiceComponent} - Eventing Hub ServiceComponent is activated
TID: [] [] [2024-07-09 12:35:45,842]  WARN {org.apache.tomcat.util.digester.Digester} - Match [Server/Service/Engine/Host/Valve] failed to set property [maxDays] to []
TID: [] [] [2024-07-09 12:35:46,518]  INFO {org.wso2.carbon.consent.mgt.core.internal.ConsentManagerComponent} - ConsentManagerComponent is activated.
TID: [] [] [2024-07-09 12:35:46,631]  INFO {org.wso2.carbon.databridge.receiver.binary.internal.BinaryDataReceiverServiceComponent} - Binary Data Receiver server activated
TID: [] [] [2024-07-09 12:35:46,640]  INFO {org.wso2.carbon.databridge.core.internal.DataBridgeDS} - Successfully deployed Agent Server 
TID: [] [] [2024-07-09 12:35:46,968]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Configured Registry in 75ms
TID: [] [] [2024-07-09 12:35:47,024]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 4ms
TID: [] [] [2024-07-09 12:35:47,024]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 4ms
TID: [] [] [2024-07-09 12:35:47,081]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 0ms
TID: [] [] [2024-07-09 12:35:47,081]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 0ms
TID: [] [] [2024-07-09 12:35:47,263]  INFO {org.wso2.carbon.registry.core.internal.RegistryCoreServiceComponent} - Registry Mode    : READ-WRITE
TID: [] [] [2024-07-09 12:35:47,474]  INFO {org.wso2.carbon.metrics.impl.util.JmxReporterBuilder} - Creating JMX reporter for Metrics with domain 'org.wso2.carbon.metrics'
TID: [] [] [2024-07-09 12:35:47,477]  INFO {org.wso2.carbon.metrics.impl.reporter.AbstractReporter} - Started JMX reporter for Metrics
TID: [] [] [2024-07-09 12:35:59,126]  INFO {org.wso2.carbon.registry.indexing.solr.SolrClient} - Default Embedded Solr Server Initialized
TID: [] [] [2024-07-09 12:35:59,238]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Carbon UserStoreMgtDSComponent activated successfully.
TID: [] [] [2024-07-09 12:36:01,002]  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} - User Store Configuration Deployer initiated.
TID: [] [] [2024-07-09 12:36:01,002]  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} - User Store Configuration Deployer initiated.
TID: [] [] [2024-07-09 12:36:01,125]  INFO {org.wso2.carbon.websocket.transport.WebsocketTransportSender} - WSS Sender started
TID: [] [] [2024-07-09 12:36:01,127]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSender} - Initializing Pass-through HTTP/S Sender...
TID: [] [] [2024-07-09 12:36:01,163]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSender} - Pass-through HTTP Sender started...
TID: [] [] [2024-07-09 12:36:01,163]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSSLSender} - Initializing Pass-through HTTP/S Sender...
TID: [] [] [2024-07-09 12:36:01,171]  INFO {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder} - customSSLProfiles configuration is loaded from path: C:\Users\MAHMOU~2.ABD\DOWNLO~1\WSO2AM~1.0(1\WSO2AM~1.0\repository/resources/security/sslprofiles.xml
TID: [] [] [2024-07-09 12:36:01,171]  INFO {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder} - HTTPS Loading custom SSL profiles for the HTTPS sender
TID: [] [] [2024-07-09 12:36:01,174]  INFO {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder} - HTTPS Custom SSL profiles initialized for 1 servers
TID: [] [] [2024-07-09 12:36:01,176]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSSLSender} - Pass-through HTTPS Sender started...
TID: [] [] [2024-07-09 12:36:01,179]  INFO {org.wso2.carbon.websocket.transport.WebsocketTransportSender} - WS Sender started
TID: [] [] [2024-07-09 12:36:01,191]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpListener} - Initializing Pass-through HTTP/S Listener...
TID: [] [] [2024-07-09 12:36:01,210]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpMultiSSLListener} - Initializing Pass-through HTTP/S Listener...
TID: [] [] [2024-07-09 12:36:01,214]  INFO {org.apache.synapse.transport.nhttp.config.ServerConnFactoryBuilder} - SSLProfile configuration is loaded from path: C:\Users\MAHMOU~2.ABD\DOWNLO~1\WSO2AM~1.0(1\WSO2AM~1.0\repository/resources/security/listenerprofiles.xml
TID: [] [] [2024-07-09 12:36:01,417]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: AdminAdvisoryManagementService {super-tenant}
TID: [] [] [2024-07-09 12:36:01,915]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: I18nEmailMgtConfigService {super-tenant}
TID: [] [] [2024-07-09 12:36:02,971]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: AccountCredentialMgtConfigService {super-tenant}
TID: [] [] [2024-07-09 12:36:02,971]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: UserIdentityManagementAdminService {super-tenant}
TID: [] [] [2024-07-09 12:36:02,971]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: UserInformationRecoveryService {super-tenant}
TID: [] [] [2024-07-09 12:36:03,547]  WARN {org.apache.axis2.description.java2wsdl.DefaultSchemaGenerator} - We don't support method overloading. Ignoring [addRemoteServerConfig]
TID: [] [] [2024-07-09 12:36:03,547]  WARN {org.apache.axis2.description.java2wsdl.DefaultSchemaGenerator} - We don't support method overloading. Ignoring [resetRemoteServerConfig]
TID: [] [] [2024-07-09 12:36:04,885]  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Repository       : C:\Users\MAHMOU~2.ABD\DOWNLO~1\WSO2AM~1.0(1\WSO2AM~1.0\bin\../repository/deployment/server/
TID: [] [] [2024-07-09 12:36:04,889]  INFO {org.wso2.carbon.event.input.adapter.kafka.internal.ds.KafkaEventAdapterServiceHolder} - Kafka input event adaptor waiting for dependent configurations to load
TID: [] [] [2024-07-09 12:36:04,904]  INFO {org.wso2.carbon.andes.core.internal.ds.QueueManagerServiceDS} - Successfully created the queue manager service
TID: [] [] [2024-07-09 12:36:04,919]  INFO {org.wso2.carbon.andes.core.internal.ds.SubscriptionManagerServiceDS} - Successfully created the subscription manager service
TID: [] [] [2024-07-09 12:36:04,965]  INFO {org.wso2.carbon.apimgt.persistence.internal.PersistenceManagerComponent} - Activating PersistenceManagerComponent 
TID: [] [] [2024-07-09 12:36:04,986]  INFO {org.wso2.carbon.core.multitenancy.eager.TenantLoadingConfig} - Using tenant lazy loading policy...
TID: [] [] [2024-07-09 12:36:04,995]  INFO {org.wso2.carbon.core.internal.permission.update.PermissionUpdater} - Permission cache updated for tenant -1234
TID: [] [] [2024-07-09 12:36:05,918]  INFO {org.wso2.carbon.identity.entitlement.internal.SchemaBuilder} - XACML policy schema loaded successfully.
TID: [] [] [2024-07-09 12:36:05,989]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Claim manager set for class org.wso2.carbon.user.core.common.DefaultRealm
TID: [] [] [2024-07-09 12:36:05,992]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Claim manager set for class org.wso2.carbon.user.core.jdbc.UniqueIDJDBCUserStoreManager
TID: [] [] [2024-07-09 12:36:06,050]  WARN {org.wso2.carbon.identity.application.mgt.internal.ApplicationManagementServiceComponent} - Templates directory not found at C:\Users\MAHMOU~2.ABD\DOWNLO~1\WSO2AM~1.0(1\WSO2AM~1.0\bin\..\repository\resources\identity\authntemplates
TID: [] [] [2024-07-09 12:36:06,271]  WARN {org.wso2.carbon.identity.auth.valve.internal.AuthenticationValveServiceComponent} - File invalid_tenant_domain_response.html not found. The default content will be used as the error page content.
TID: [] [] [2024-07-09 12:36:06,297]  WARN {org.wso2.carbon.identity.auth.service.internal.AuthenticationServiceComponent} - 

##################################  ALERT  ##################################
[WARNING]: Internal authentication is utilizing default credentials,
which may expose the environment to potential security risks.
If this is a production environment, change the credentials immediately.
Please refer to the WSO2 security advisory: https://security.docs.wso2.com/en/latest/security-announcements/security-advisories/2023/WSO2-2023-2617/
#############################################################################

TID: [] [] [2024-07-09 12:36:06,306]  INFO {org.wso2.carbon.identity.organization.management.tenant.association.internal.TenantAssociationServiceComponent} - Organization management related TenantAssociationManagementListener registered successfully.
TID: [] [] [2024-07-09 12:36:06,683]  INFO {org.wso2.carbon.identity.local.auth.api.core.internal.AuthAPIServiceComponent} - Auth API Service Component  is activated.
TID: [] [] [2024-07-09 12:36:07,447]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy addHeader_v2 was added to the organization carbon.super successfully
TID: [] [] [2024-07-09 12:36:07,452]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy addLogMessage_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-07-09 12:36:07,456]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy addQueryParam_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-07-09 12:36:07,459]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy applyAcceptHeader_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-07-09 12:36:07,463]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy BackEndJWT_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-07-09 12:36:07,467]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy ccCallInterceptorService_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-07-09 12:36:07,471]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy changeHTTPMethod_v1 was added to the organization carbon.super successfully
TID: [] [] [2024-07-09 12:36:07,474]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy debugJsonFault_v1 was added to the organization carbon.super successfully
